B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.108975
-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0847613
-1.0,0.0,-1.0,-1.0,-1.0,-0.6,-1.0,0.061027
-1.0,0.0,-1.0,-1.0,-1.0,-0.6,1.0,0.0475498
-1.0,0.0,-1.0,-1.0,-1.0,-0.19999999999999996,-1.0,0.0462413
-1.0,0.0,-1.0,-1.0,-1.0,-0.19999999999999996,1.0,0.0363218
-1.0,0.0,-1.0,-1.0,-1.0,0.19999999999999996,-1.0,0.040335
-1.0,0.0,-1.0,-1.0,-1.0,0.19999999999999996,1.0,0.0317357
-1.0,0.0,-1.0,-1.0,-1.0,0.6000000000000001,-1.0,0.0380584
-1.0,0.0,-1.0,-1.0,-1.0,0.6000000000000001,1.0,0.0297925
-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.037402
-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0290978
-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.123687
-1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,0.0990298
-1.0,0.0,-1.0,-1.0,1.0,-0.6,-1.0,0.089045
-1.0,0.0,-1.0,-1.0,1.0,-0.6,1.0,0.0734622
-1.0,0.0,-1.0,-1.0,1.0,-0.19999999999999996,-1.0,0.0885501
-1.0,0.0,-1.0,-1.0,1.0,-0.19999999999999996,1.0,0.0753699
-1.0,0.0,-1.0,-1.0,1.0,0.19999999999999996,-1.0,0.0429851
-1.0,0.0,-1.0,-1.0,1.0,0.19999999999999996,1.0,0.0651739
-1.0,0.0,-1.0,-1.0,1.0,0.6000000000000001,-1.0,0.17927
-1.0,0.0,-1.0,-1.0,1.0,0.6000000000000001,1.0,0.0904501
-1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0912403
-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0123602
-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.114199
-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.089628
-1.0,0.0,-1.0,-1.0,0.0,-0.6,-1.0,0.070164
-1.0,0.0,-1.0,-1.0,0.0,-0.6,1.0,0.0558835
-1.0,0.0,-1.0,-1.0,0.0,-0.19999999999999996,-1.0,0.0596768
-1.0,0.0,-1.0,-1.0,0.0,-0.19999999999999996,1.0,0.0486031
-1.0,0.0,-1.0,-1.0,0.0,0.19999999999999996,-1.0,0.0585841
-1.0,0.0,-1.0,-1.0,0.0,0.19999999999999996,1.0,0.0482857
-1.0,0.0,-1.0,-1.0,0.0,0.6000000000000001,-1.0,0.0611542
-1.0,0.0,-1.0,-1.0,0.0,0.6000000000000001,1.0,0.050604
-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0648549
-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.053683
-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.109482
-1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0846748
-1.0,0.0,-1.0,0.0,-1.0,-0.6,-1.0,0.0609714
-1.0,0.0,-1.0,0.0,-1.0,-0.6,1.0,0.047499
-1.0,0.0,-1.0,0.0,-1.0,-0.19999999999999996,-1.0,0.0461416
-1.0,0.0,-1.0,0.0,-1.0,-0.19999999999999996,1.0,0.036234
-1.0,0.0,-1.0,0.0,-1.0,0.19999999999999996,-1.0,0.0402434
-1.0,0.0,-1.0,0.0,-1.0,0.19999999999999996,1.0,0.0316432
-1.0,0.0,-1.0,0.0,-1.0,0.6000000000000001,-1.0,0.037945
-1.0,0.0,-1.0,0.0,-1.0,0.6000000000000001,1.0,0.0296858
-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0372715
-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0289727
-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,0.123698
-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,0.0985287
-1.0,0.0,-1.0,0.0,1.0,-0.6,-1.0,0.0889229
-1.0,0.0,-1.0,0.0,1.0,-0.6,1.0,0.0733356
-1.0,0.0,-1.0,0.0,1.0,-0.19999999999999996,-1.0,0.0884323
