B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.109443
-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0849184
-1.0,0.0,-1.0,-1.0,-1.0,-0.19999999999999996,-1.0,0.0498948
-1.0,0.0,-1.0,-1.0,-1.0,-0.19999999999999996,1.0,0.0389887
-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0476018
-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0361808
-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.124496
-1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,0.0991936
-1.0,0.0,-1.0,-1.0,1.0,-0.19999999999999996,-1.0,0.10047
-1.0,0.0,-1.0,-1.0,1.0,-0.19999999999999996,1.0,0.0864501
-1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.173947
-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0447108
-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.115285
-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.0902644
-1.0,0.0,-1.0,-1.0,0.0,-0.19999999999999996,-1.0,0.0680635
-1.0,0.0,-1.0,-1.0,0.0,-0.19999999999999996,1.0,0.0553235
-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,-0.00925735
-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0684067
-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.109857
-1.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,0.0852259
-1.0,0.0,-1.0,1.0,-1.0,-0.19999999999999996,-1.0,0.0505029
-1.0,0.0,-1.0,1.0,-1.0,-0.19999999999999996,1.0,0.0393951
-1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0485245
-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,0.0369136
-1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.125074
-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.0996037
-1.0,0.0,-1.0,1.0,1.0,-0.19999999999999996,-1.0,0.101983
-1.0,0.0,-1.0,1.0,1.0,-0.19999999999999996,1.0,0.0867593
-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,0.116428
-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.168075
-1.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.115731
-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0905901
-1.0,0.0,-1.0,1.0,0.0,-0.19999999999999996,-1.0,0.068611
-1.0,0.0,-1.0,1.0,0.0,-0.19999999999999996,1.0,0.0556066
-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.114429
-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0696748
-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.441177
-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.365046
-1.0,0.0,1.0,-1.0,-1.0,-0.19999999999999996,-1.0,0.190928
-1.0,0.0,1.0,-1.0,-1.0,-0.19999999999999996,1.0,0.154047
-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.122622
-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0970376
-1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,0.442558
-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.367379
-1.0,0.0,1.0,-1.0,1.0,-0.19999999999999996,-1.0,0.213114
-1.0,0.0,1.0,-1.0,1.0,-0.19999999999999996,1.0,0.17257
-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,0.175188
-1.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.154739
-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.442638
-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.366233
-1.0,0.0,1.0,-1.0,0.0,-0.19999999999999996,-1.0,0.192288
-1.0,0.0,1.0,-1.0,0.0,-0.19999999999999996,1.0,0.152251
-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.114746
-1.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0869456
-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,0.441418
-1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.3651
-1.0,0.0,1.0,1.0,-1.0,-0.19999999999999996,-1.0,0.191083
-1.0,0.0,1.0,1.0,-1.0,-0.19999999999999996,1.0,0.154499
-1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.123218
-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0976376
-1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.442686
-1.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.367387
-1.0,0.0,1.0,1.0,1.0,-0.19999999999999996,-1.0,0.212986
-1.0,0.0,1.0,1.0,1.0,-0.19999999999999996,1.0,0.172428
-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.174825
-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.154332
-1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.442847
-1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.366276
-1.0,0.0,1.0,1.0,0.0,-0.19999999999999996,-1.0,0.192268
-1.0,0.0,1.0,1.0,0.0,-0.19999999999999996,1.0,0.152376
-1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.11487
-1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0869558
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.115964
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0892996
-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,-1.0,0.0543186
-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,1.0,0.0432507
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0504426
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0406532
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.12853
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.101773
-1.0,-1.0,-1.0,-1.0,1.0,-0.19999999999999996,-1.0,0.0966608
-1.0,-1.0,-1.0,-1.0,1.0,-0.19999999999999996,1.0,0.0843574
-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.121775
-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.108528
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.121151
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0942174
-1.0,-1.0,-1.0,-1.0,0.0,-0.6,-1.0,0.0780055
-1.0,-1.0,-1.0,-1.0,0.0,-0.6,1.0,0.0629589
-1.0,-1.0,-1.0,-1.0,0.0,-0.19999999999999996,-1.0,0.0695717
-1.0,-1.0,-1.0,-1.0,0.0,-0.19999999999999996,1.0,0.0580994
-1.0,-1.0,-1.0,-1.0,0.0,0.19999999999999996,-1.0,0.0703101
-1.0,-1.0,-1.0,-1.0,0.0,0.19999999999999996,1.0,0.0598541
-1.0,-1.0,-1.0,-1.0,0.0,0.6000000000000001,-1.0,0.0740375
-1.0,-1.0,-1.0,-1.0,0.0,0.6000000000000001,1.0,0.06361
-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,0.0783386
-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0675517
-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.121072
-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.094208
-1.0,-1.0,-1.0,0.0,0.0,-0.6,-1.0,0.0778683
-1.0,-1.0,-1.0,0.0,0.0,-0.6,1.0,0.0628555
-1.0,-1.0,-1.0,0.0,0.0,-0.19999999999999996,-1.0,0.0694177
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.116169
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0894224
-1.0,-1.0,-1.0,1.0,-1.0,-0.19999999999999996,-1.0,0.0545593
-1.0,-1.0,-1.0,1.0,-1.0,-0.19999999999999996,1.0,0.0433477
-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0510014
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0408972
-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.128635
-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.101751
-1.0,-1.0,-1.0,1.0,1.0,-0.19999999999999996,-1.0,0.096907
-1.0,-1.0,-1.0,1.0,1.0,-0.19999999999999996,1.0,0.0840668
-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.122992
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.108788
-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.121293
-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0942542
-1.0,-1.0,-1.0,1.0,0.0,-0.19999999999999996,-1.0,0.0697226
-1.0,-1.0,-1.0,1.0,0.0,-0.19999999999999996,1.0,0.0579405
-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0790688
-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0676262
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.447235
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.379251
-1.0,-1.0,1.0,-1.0,-1.0,-0.19999999999999996,-1.0,0.212709
-1.0,-1.0,1.0,-1.0,-1.0,-0.19999999999999996,1.0,0.163985
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.141224
-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.110984
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.448803
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.381263
