B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
-0.142857142857143,1.0,1.0,-1.0,0.0,0.1999999999999999,1.0,0.0990537
-0.142857142857143,1.0,-1.0,1.0,-1.0,0.6000000000000001,-1.0,0.0395501
1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0268602
1.0,0.0,-0.219512195121951,-1.0,-1.0,0.6000000000000001,1.0,0.0855495
1.0,1.0,-0.219512195121951,-1.0,0.0,1.0,-1.0,0.0685613
-1.0,1.0,-1.0,1.0,1.0,-0.1999999999999999,-1.0,0.0930806
1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.173268
-0.142857142857143,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.030969
1.0,1.0,-0.219512195121951,1.0,-1.0,-1.0,1.0,0.300471
-1.0,1.0,-0.219512195121951,-1.0,-1.0,0.6000000000000001,1.0,0.0571581
-0.142857142857143,1.0,-0.219512195121951,-1.0,-1.0,-0.1999999999999999,-1.0,0.114377
-0.142857142857143,0.0,1.0,0.0,1.0,-0.6,-1.0,0.255444
-0.142857142857143,0.0,-0.219512195121951,1.0,1.0,0.1999999999999999,-1.0,0.140012
-1.0,0.0,-0.219512195121951,0.0,1.0,1.0,-1.0,0.128251
-0.142857142857143,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.154806
0.4285714285714284,-1.0,-0.219512195121951,1.0,-1.0,0.1999999999999999,1.0,0.0758298
1.0,1.0,1.0,0.0,-1.0,0.1999999999999999,-1.0,0.254318
-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0820833
-0.142857142857143,-1.0,1.0,-1.0,1.0,-0.6,1.0,0.213231
-0.142857142857143,1.0,1.0,-1.0,0.0,0.6000000000000001,1.0,0.0812691
-0.142857142857143,0.0,-0.219512195121951,0.0,-1.0,-1.0,-1.0,0.302403
-0.142857142857143,-1.0,-0.219512195121951,0.0,1.0,0.6000000000000001,-1.0,0.14021
0.4285714285714284,1.0,-1.0,0.0,-1.0,0.1999999999999999,1.0,0.0315817
-0.142857142857143,0.0,-0.219512195121951,0.0,1.0,0.6000000000000001,1.0,0.126761
-0.142857142857143,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0549111
0.4285714285714284,0.0,-0.219512195121951,-1.0,0.0,1.0,1.0,0.051223
0.4285714285714284,-1.0,1.0,0.0,-1.0,0.1999999999999999,1.0,0.157241
-0.142857142857143,0.0,-1.0,0.0,1.0,-0.6,1.0,0.0928353
0.4285714285714284,1.0,1.0,-1.0,-1.0,-0.6,1.0,0.255645
-1.0,0.0,1.0,-1.0,0.0,-0.6,-1.0,0.261876
0.4285714285714284,-1.0,-0.219512195121951,0.0,0.0,0.1999999999999999,1.0,0.0726233
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0405566
0.4285714285714284,-1.0,-1.0,0.0,0.0,-0.1999999999999999,1.0,0.0581555
1.0,-1.0,-0.219512195121951,1.0,1.0,0.6000000000000001,1.0,0.148711
0.4285714285714284,1.0,-0.219512195121951,1.0,1.0,-1.0,-1.0,0.344576
0.4285714285714284,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.424541
-0.142857142857143,-1.0,-0.219512195121951,-1.0,0.0,-0.1999999999999999,1.0,0.0889291
0.4285714285714284,0.0,1.0,-1.0,1.0,1.0,1.0,0.200337
1.0,1.0,1.0,0.0,-1.0,-0.6,-1.0,0.333948
0.4285714285714284,-1.0,1.0,-1.0,0.0,0.6000000000000001,-1.0,0.126343
0.4285714285714284,1.0,-1.0,1.0,0.0,-0.1999999999999999,-1.0,0.0784806
-1.0,-1.0,1.0,-1.0,0.0,0.1999999999999999,1.0,0.130595
0.4285714285714284,-1.0,1.0,0.0,0.0,-0.6,1.0,0.219405
1.0,0.0,1.0,0.0,0.0,-0.6,-1.0,0.322123
0.4285714285714284,-1.0,-0.219512195121951,-1.0,1.0,-0.1999999999999999,1.0,0.139144
1.0,0.0,1.0,-1.0,1.0,0.1999999999999999,-1.0,0.230913
-0.142857142857143,-1.0,-1.0,0.0,-1.0,1.0,-1.0,0.038336
-1.0,0.0,-1.0,1.0,1.0,0.6000000000000001,1.0,0.0917465
-0.142857142857143,-1.0,-0.219512195121951,0.0,0.0,0.6000000000000001,1.0,0.0633843
0.4285714285714284,1.0,1.0,1.0,-1.0,1.0,1.0,0.183843
-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0535545
-0.142857142857143,0.0,1.0,-1.0,-1.0,0.6000000000000001,-1.0,0.158043
-1.0,0.0,-1.0,0.0,0.0,-0.6,-1.0,0.0700631
