B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
-1.0,0.0,-0.219512195121951,0.0,1.0,1.0,-1.0,0.1394
1.0,0.0,-1.0,0.0,0.0,0.6000000000000001,1.0,0.1897
1.0,-1.0,-0.219512195121951,0.0,1.0,1.0,-1.0,0.3708
-1.0,0.0,1.0,0.0,-1.0,-0.6,-1.0,0.2658
-1.0,0.0,-1.0,0.0,-1.0,0.6000000000000001,-1.0,0.05449
1.0,0.0,-1.0,0.0,0.0,-0.6,1.0,0.2396
1.0,1.0,1.0,0.0,0.0,-0.1999999999999999,1.0,0.3108
-1.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.367387
-0.6842105263157895,-1.0,1.0,0.0,0.0,0.1999999999999999,-1.0,0.1623
-0.6842105263157895,1.0,-0.219512195121951,0.0,1.0,0.6000000000000001,-1.0,0.161
-0.6842105263157895,0.0,1.0,-1.0,0.0,-0.1999999999999999,1.0,0.140173
-0.6842105263157895,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.353935
-0.6842105263157895,-1.0,-0.219512195121951,0.0,0.0,-0.6,1.0,0.1292
-0.6842105263157895,0.0,-0.219512195121951,0.0,1.0,-1.0,-1.0,0.275
-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.168075
-0.6842105263157895,-1.0,1.0,0.0,-1.0,0.6000000000000001,-1.0,0.1505
-1.0,1.0,-1.0,0.0,0.0,-0.6,-1.0,0.07857
-0.6842105263157895,0.0,-0.219512195121951,0.0,-1.0,0.1999999999999999,-1.0,0.08344
-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0447108
-0.6842105263157895,0.0,1.0,0.0,0.0,0.1999999999999999,1.0,0.1111
-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0942542
1.0,-1.0,-1.0,-1.0,0.0,-0.1999999999999999,-1.0,0.158515
1.0,1.0,1.0,0.0,-1.0,-0.1999999999999999,-1.0,0.4137
-1.0,0.0,1.0,1.0,1.0,-0.1999999999999999,1.0,0.172428
-0.6842105263157895,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.4175
