B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.01,1.25,0.9,-5,-0.5,10,100000,0.108975
0.01,1.25,0.9,-5,-0.5,10,500000,0.0847613
0.01,1.25,0.9,-5,-0.5,20,100000,0.061027
0.01,1.25,0.9,-5,-0.5,20,500000,0.0475498
0.01,1.25,0.9,-5,-0.5,30,100000,0.0462413
0.01,1.25,0.9,-5,-0.5,30,500000,0.0363218
0.01,1.25,0.9,-5,-0.5,40,100000,0.040335
0.01,1.25,0.9,-5,-0.5,40,500000,0.0317357
0.01,1.25,0.9,-5,-0.5,50,100000,0.0380584
0.01,1.25,0.9,-5,-0.5,50,500000,0.0297925
0.01,1.25,0.9,-5,-0.5,60,100000,0.037402
0.01,1.25,0.9,-5,-0.5,60,500000,0.0290978
0.01,1.25,0.9,-5,0.5,10,100000,0.123687
0.01,1.25,0.9,-5,0.5,10,500000,0.0990298
0.01,1.25,0.9,-5,0.5,20,100000,0.089045
0.01,1.25,0.9,-5,0.5,20,500000,0.0734622
0.01,1.25,0.9,-5,0.5,30,100000,0.0885501
0.01,1.25,0.9,-5,0.5,30,500000,0.0753699
0.01,1.25,0.9,-5,0.5,40,100000,0.0429851
0.01,1.25,0.9,-5,0.5,40,500000,0.0651739
0.01,1.25,0.9,-5,0.5,50,100000,0.17927
0.01,1.25,0.9,-5,0.5,50,500000,0.0904501
0.01,1.25,0.9,-5,0.5,60,100000,0.0912403
0.01,1.25,0.9,-5,0.5,60,500000,0.0123602
0.01,1.25,0.9,-5,0.0,10,100000,0.114199
0.01,1.25,0.9,-5,0.0,10,500000,0.089628
0.01,1.25,0.9,-5,0.0,20,100000,0.070164
0.01,1.25,0.9,-5,0.0,20,500000,0.0558835
0.01,1.25,0.9,-5,0.0,30,100000,0.0596768
0.01,1.25,0.9,-5,0.0,30,500000,0.0486031
0.01,1.25,0.9,-5,0.0,40,100000,0.0585841
0.01,1.25,0.9,-5,0.0,40,500000,0.0482857
0.01,1.25,0.9,-5,0.0,50,100000,0.0611542
0.01,1.25,0.9,-5,0.0,50,500000,0.050604
0.01,1.25,0.9,-5,0.0,60,100000,0.0648549
0.01,1.25,0.9,-5,0.0,60,500000,0.053683
0.01,1.25,0.9,0,-0.5,10,100000,0.109482
0.01,1.25,0.9,0,-0.5,10,500000,0.0846748
0.01,1.25,0.9,0,-0.5,20,100000,0.0609714
0.01,1.25,0.9,0,-0.5,20,500000,0.047499
0.01,1.25,0.9,0,-0.5,30,100000,0.0461416
0.01,1.25,0.9,0,-0.5,30,500000,0.036234
0.01,1.25,0.9,0,-0.5,40,100000,0.0402434
0.01,1.25,0.9,0,-0.5,40,500000,0.0316432
0.01,1.25,0.9,0,-0.5,50,100000,0.037945
0.01,1.25,0.9,0,-0.5,50,500000,0.0296858
0.01,1.25,0.9,0,-0.5,60,100000,0.0372715
0.01,1.25,0.9,0,-0.5,60,500000,0.0289727
0.01,1.25,0.9,0,0.5,10,100000,0.123698
0.01,1.25,0.9,0,0.5,10,500000,0.0985287
0.01,1.25,0.9,0,0.5,20,100000,0.0889229
0.01,1.25,0.9,0,0.5,20,500000,0.0733356
0.01,1.25,0.9,0,0.5,30,100000,0.0884323
0.01,1.25,0.9,0,0.5,30,500000,0.0752619
0.01,1.25,0.9,0,0.5,40,100000,0.0971056
0.01,1.25,0.9,0,0.5,40,500000,0.0836074
