    dirname, B4TOD4, B5TOB4, R45TOB4, OMEGA5, GAMMAU, ALPHA4, RE, pt_loss
    "ubend_0.01_1.01_2.26_10.48_0.41_42.3_333950.24_0.5",   0.01,   1.01,   2.26,   10.48,   0.41,   42.3,   333950,   0.100867
    "ubend_0.01_1.02_4.27_-6.68_-0.33_30.68_126997.54_0.5",   0.01,   1.02,   4.27,   -6.68,   -0.33,   30.68,   126997,   0.166916
    "ubend_0.01_1.03_3.22_9.58_0.39_33.69_189689.98_0.5",   0.01,   1.03,   3.22,   9.58,   0.39,   33.69,   189689,   0.138787
    "ubend_0.01_1.03_4.06_2.58_0.47_28.62_205213.62_0.5",   0.01,   1.03,   4.06,   2.58,   0.47,   28.62,   205213,   0.176488
    "ubend_0.01_1.04_4.26_7.26_0.63_59.88_486304.05_0.5",   0.01,   1.04,   4.26,   7.26,   0.63,   59.88,   486304,   0.171453
    "ubend_0.01_1.06_4.74_-5.87_0.35_11.18_493048.68_0.5",   0.01,   1.06,   4.74,   -5.87,   0.35,   11.18,   493048,   0.325602
    "ubend_0.01_1.07_1.47_6.17_0.83_58.4_453121.53_0.5",   0.01,   1.07,   1.47,   6.17,   0.83,   58.4,   453121,   0.141776
    "ubend_0.01_1.08_0.9_-6.71_0.9_51.5_211305.38_0.5",   0.01,   1.08,   0.9,   -6.71,   0.9,   51.5,   211305,   0.136336
    "ubend_0.01_1.08_1.55_8.36_-0.34_34.2_302964.08_0.5",   0.01,   1.08,   1.55,   8.36,   -0.34,   34.2,   302964,   0.0561077
    "ubend_0.01_1.08_4.32_-3.31_0.57_22.71_392620.81_0.5",   0.01,   1.08,   4.32,   -3.31,   0.57,   22.71,   392620,   0.193131
    "ubend_0.01_1.09_1.71_7.08_0.63_51.85_484359.49_0.5",   0.01,   1.09,   1.71,   7.08,   0.63,   51.85,   484359,   0.116411
    "ubend_0.01_1.0_4.33_10.72_0.3_35.44_385371.81_0.5",   0.01,   1,   4.33,   10.72,   0.3,   35.44,   385371,   0.153868
    "ubend_0.01_1.11_0.95_-7.73_0.93_23.31_130084.44_0.5",   0.01,   1.11,   0.95,   -7.73,   0.93,   23.31,   130084,   0.109922
    "ubend_0.01_1.11_3.07_11.8_-0.32_16.78_162069.12_0.5",   0.01,   1.11,   3.07,   11.8,   -0.32,   16.78,   162069,   0.108824
    "ubend_0.01_1.12_1.5_14.38_0.38_28.48_480956.06_0.5",   0.01,   1.12,   1.5,   14.38,   0.38,   28.48,   480956,   0.0809217
    "ubend_0.01_1.13_3.55_-14.86_0.03_10.93_338021.79_0.5",   0.01,   1.13,   3.55,   -14.86,   0.03,   10.93,   338021,   0.352007
    "ubend_0.01_1.14_2.05_-2.91_-0.62_44.72_112864.38_0.5",   0.01,   1.14,   2.05,   -2.91,   -0.62,   44.72,   112864,   0.0674409
    "ubend_0.01_1.14_4.91_-10.12_0.16_47.9_485336.78_0.5",   0.01,   1.14,   4.91,   -10.12,   0.16,   47.9,   485336,   0.115162
    "ubend_0.01_1.15_2.38_12.24_0.71_31.71_361096.44_0.5",   0.01,   1.15,   2.38,   12.24,   0.71,   31.71,   361096,   0.13056
    "ubend_0.01_1.16_1.94_6.02_0.57_28.95_125541.91_0.5",   0.01,   1.16,   1.94,   6.02,   0.57,   28.95,   125541,   0.11986
    "ubend_0.01_1.16_4.95_6.56_0.72_26.78_301879.94_0.5",   0.01,   1.16,   4.95,   6.56,   0.72,   26.78,   301879,   0.204657
    "ubend_0.01_1.17_2.24_5.72_-0.23_35.85_451456.12_0.5",   0.01,   1.17,   2.24,   5.72,   -0.23,   35.85,   451456,   0.0658223
    "ubend_0.01_1.18_3.73_-1.24_0.03_54.9_381278.18_0.5",   0.01,   1.18,   3.73,   -1.24,   0.03,   54.9,   381278,   0.0788518
    "ubend_0.01_1.19_2.05_-6.23_-0.15_34.91_292793.08_0.5",   0.01,   1.19,   2.05,   -6.23,   -0.15,   34.91,   292793,   0.0672367
    "ubend_0.01_1.19_2.15_-2.09_-0.39_10.34_155548.93_0.5",   0.01,   1.19,   2.15,   -2.09,   -0.39,   10.34,   155548,   0.217856
    "ubend_0.01_1.19_2.36_-7.91_-0.15_31.81_393802.97_0.5",   0.01,   1.19,   2.36,   -7.91,   -0.15,   31.81,   393802,   0.0772192
    "ubend_0.01_1.19_3.89_-2.77_-0.5_16.16_165245.08_0.5",   0.01,   1.19,   3.89,   -2.77,   -0.5,   16.16,   165245,   0.238015
    "ubend_0.01_1.21_2.07_12.15_0.81_55.16_139342.55_0.5",   0.01,   1.21,   2.07,   12.15,   0.81,   55.16,   139342,   0.167036
