B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.01,1.25,0.9,-5,-0.5,10,50000,0.12241
0.01,1.25,0.9,-5,-0.5,20,50000,0.0679968
0.01,1.25,0.9,-5,-0.5,30,50000,0.0514909
0.01,1.25,0.9,-5,-0.5,40,50000,0.0449664
0.01,1.25,0.9,-5,-0.5,50,50000,0.0425004
0.01,1.25,0.9,-5,-0.5,60,50000,0.0417835
0.01,1.25,0.9,-5,0.5,10,50000,0.136478
0.01,1.25,0.9,-5,0.5,20,50000,0.0976377
0.01,1.25,0.9,-5,0.5,30,50000,0.0965648
0.01,1.25,0.9,-5,0.5,40,50000,0.0554765
0.01,1.25,0.9,-5,0.5,50,50000,0.239924
0.01,1.25,0.9,-5,0.5,60,50000,0.112268
0.01,1.25,0.9,-5,0.0,10,50000,0.12745
0.01,1.25,0.9,-5,0.0,20,50000,0.0776178
0.01,1.25,0.9,-5,0.0,30,50000,0.0658154
0.01,1.25,0.9,-5,0.0,40,50000,0.064599
0.01,1.25,0.9,-5,0.0,50,50000,0.0674962
0.01,1.25,0.9,-5,0.0,60,50000,0.0716107
0.01,1.25,0.9,0,-0.5,10,50000,0.122351
0.01,1.25,0.9,0,-0.5,20,50000,0.0679394
0.01,1.25,0.9,0,-0.5,30,50000,0.0513604
0.01,1.25,0.9,0,-0.5,40,50000,0.0448656
0.01,1.25,0.9,0,-0.5,50,50000,0.0423799
0.01,1.25,0.9,0,-0.5,60,50000,0.0416597
0.01,1.25,0.9,0,0.5,10,50000,0.136642
0.01,1.25,0.9,0,0.5,20,50000,0.0974801
0.01,1.25,0.9,0,0.5,30,50000,0.0964354
0.01,1.25,0.9,0,0.5,40,50000,0.105778
0.01,1.25,0.9,0,0.5,50,50000,0.116776
0.01,1.25,0.9,0,0.5,60,50000,0.12598
0.01,1.25,0.9,0,0.0,10,50000,0.1275
0.01,1.25,0.9,0,0.0,20,50000,0.07751
0.01,1.25,0.9,0,0.0,30,50000,0.0657007
0.01,1.25,0.9,0,0.0,40,50000,0.0644673
0.01,1.25,0.9,0,0.0,50,50000,0.067365
0.01,1.25,0.9,0,0.0,60,50000,0.071452
0.01,1.25,0.9,5,-0.5,10,50000,0.122908
0.01,1.25,0.9,5,-0.5,20,50000,0.068622
0.01,1.25,0.9,5,-0.5,30,50000,0.0522371
0.01,1.25,0.9,5,-0.5,40,50000,0.0458519
0.01,1.25,0.9,5,-0.5,50,50000,0.0435095
0.01,1.25,0.9,5,-0.5,60,50000,0.0429075
0.01,1.25,0.9,5,0.5,10,50000,0.137089
0.01,1.25,0.9,5,0.5,20,50000,0.0983672
0.01,1.25,0.9,5,0.5,30,50000,0.097407
0.01,1.25,0.9,5,0.5,40,50000,0.081844
0.01,1.25,0.9,5,0.5,50,50000,0.130537
0.01,1.25,0.9,5,0.5,60,50000,0.241352
0.01,1.25,0.9,5,0.0,10,50000,0.127919
0.01,1.25,0.9,5,0.0,20,50000,0.0783034
0.01,1.25,0.9,5,0.0,30,50000,0.0665592
0.01,1.25,0.9,5,0.0,40,50000,0.0654752
0.01,1.25,0.9,5,0.0,50,50000,0.0685561
0.01,1.25,0.9,5,0.0,60,50000,0.0728498
0.01,1.25,2.5,-5,-0.5,10,50000,0.300654
0.01,1.25,2.5,-5,-0.5,20,50000,0.165497
0.01,1.25,2.5,-5,-0.5,30,50000,0.116977
0.01,1.25,2.5,-5,-0.5,40,50000,0.093421
0.01,1.25,2.5,-5,-0.5,50,50000,0.0805181
0.01,1.25,2.5,-5,-0.5,60,50000,0.0731943
0.01,1.25,2.5,-5,0.5,10,50000,0.30591
0.01,1.25,2.5,-5,0.5,20,50000,0.182344
0.01,1.25,2.5,-5,0.5,30,50000,0.146319
0.01,1.25,2.5,-5,0.5,40,50000,0.13519
0.01,1.25,2.5,-5,0.5,50,50000,0.133746
0.01,1.25,2.5,-5,0.5,60,50000,0.135605
0.01,1.25,2.5,-5,0.0,10,50000,0.302996
0.01,1.25,2.5,-5,0.0,20,50000,0.168741
0.01,1.25,2.5,-5,0.0,30,50000,0.11991
0.01,1.25,2.5,-5,0.0,40,50000,0.0952358
0.01,1.25,2.5,-5,0.0,50,50000,0.0811542
0.01,1.25,2.5,-5,0.0,60,50000,0.0727051
0.01,1.25,2.5,0,-0.5,10,50000,0.29615
0.01,1.25,2.5,0,-0.5,20,50000,0.165894
0.01,1.25,2.5,0,-0.5,30,50000,0.117067
0.01,1.25,2.5,0,-0.5,40,50000,0.0932327
0.01,1.25,2.5,0,-0.5,50,50000,0.080233
0.01,1.25,2.5,0,-0.5,60,50000,0.0728561
0.01,1.25,2.5,0,0.5,10,50000,0.301571
0.01,1.25,2.5,0,0.5,20,50000,0.182374
0.01,1.25,2.5,0,0.5,30,50000,0.145762
0.01,1.25,2.5,0,0.5,40,50000,0.134466
0.01,1.25,2.5,0,0.5,50,50000,0.132901
0.01,1.25,2.5,0,0.5,60,50000,0.134721
0.01,1.25,2.5,0,0.0,10,50000,0.29857
0.01,1.25,2.5,0,0.0,20,50000,0.168932
0.01,1.25,2.5,0,0.0,30,50000,0.119618
0.01,1.25,2.5,0,0.0,40,50000,0.0948629
0.01,1.25,2.5,0,0.0,50,50000,0.0807682
0.01,1.25,2.5,0,0.0,60,50000,0.0723116
0.01,1.25,2.5,5,-0.5,10,50000,0.301068
0.01,1.25,2.5,5,-0.5,20,50000,0.165921
0.01,1.25,2.5,5,-0.5,30,50000,0.11748
0.01,1.25,2.5,5,-0.5,40,50000,0.0940196
0.01,1.25,2.5,5,-0.5,50,50000,0.0811911
0.01,1.25,2.5,5,-0.5,60,50000,0.0739092
0.01,1.25,2.5,5,0.5,10,50000,0.306124
0.01,1.25,2.5,5,0.5,20,50000,0.182195
0.01,1.25,2.5,5,0.5,30,50000,0.145931
0.01,1.25,2.5,5,0.5,40,50000,0.134559
0.01,1.25,2.5,5,0.5,50,50000,0.13293
0.01,1.25,2.5,5,0.5,60,50000,0.13467
0.01,1.25,2.5,5,0.0,10,50000,0.303324
0.01,1.25,2.5,5,0.0,20,50000,0.168855
0.01,1.25,2.5,5,0.0,30,50000,0.119975
0.01,1.25,2.5,5,0.0,40,50000,0.0952725
0.01,1.25,2.5,5,0.0,50,50000,0.0811844
0.01,1.25,2.5,5,0.0,60,50000,0.072752
0.01,1.25,5.0,-5,-0.5,10,50000,0.465167
0.01,1.25,5.0,-5,-0.5,20,50000,0.289302
0.01,1.25,5.0,-5,-0.5,30,50000,0.211425
0.01,1.25,5.0,-5,-0.5,40,50000,0.172181
0.01,1.25,5.0,-5,-0.5,50,50000,0.151509
0.01,1.25,5.0,-5,-0.5,60,50000,0.140235
0.01,1.25,5.0,-5,0.5,10,50000,0.467274
0.01,1.25,5.0,-5,0.5,20,50000,0.296437
0.01,1.25,5.0,-5,0.5,30,50000,0.227694
0.01,1.25,5.0,-5,0.5,40,50000,0.199455
0.01,1.25,5.0,-5,0.5,50,50000,0.188509
0.01,1.25,5.0,-5,0.5,60,50000,0.18502
0.01,1.25,5.0,-5,0.0,10,50000,0.467162
0.01,1.25,5.0,-5,0.0,20,50000,0.290742
0.01,1.25,5.0,-5,0.0,30,50000,0.209625
0.01,1.25,5.0,-5,0.0,40,50000,0.165483
0.01,1.25,5.0,-5,0.0,50,50000,0.139249
0.01,1.25,5.0,-5,0.0,60,50000,0.122737
